id,source,title,author,year,price,outcome,ch_row,decided_by,reason
e36a88930020,manual,"A Treatise of the Fossil, Vegetable, and Animal Substances, That Are Made Use of in Physick. Containing the History and Description of Them; with an Account of Their Several Virtues and Preparations. to Which Is Prefixed, an Enquiry into the C|onstituent Principles of Mixed Bodies, and the Proper Methods of Discovering the Nature of Medicines",Étienne François Geoffroy,1736,€145,already in CH,1699,refuted_missing,"CH r1699 ""A Treatise of the Fossil Vegetable and Animal Substances that are made use of in Physick"", Geoffory, S.; G. Douglas, Trans., 1736, London — same author (Geoffroy, spelled Geoffory), same year and city, subtitle dropped."
fed00fb44251,manual,The Universal Herbal,T. Green,1820,,already in CH,1831,refuted_inch,"r1831 'The Universal Herbal / Green, T. / 0.1823 / Caxton Press / 2nd revised edition / London' — same author, same Caxton Press 2nd revised edition; r1833 even carries B's full subtitle 'or Botanical Medical and Agricultural Dictionary 2 Vol'."
5db40a804db4,manual,The Practice of Curing Diseases,"Salmon, William",1694,£220,INSERTED (missing from CH),,adjudicated,"CH's Salmon entries are r4079 ""The English Herbal: or History of Plants / Salmon, W. / 1710"" and r4080 ""Pharmacopoeia Bateana / Salmon, W. / 1713""; ""Practice of Curing"" and ""Medendi"" return no matches."
48fa8d49c640,manual,Merck's 1907 Index.,Merck & Co,1907,,already in CH,3111,refuted_inch,"r3111 'Mercks 1907 Index / Merck & Co., pub. / 1907 / Merck & Co. / 3rd / New York' matches year, publisher and 3rd edition exactly."
73141aab6496,manual,"The New-England Farrier, and Family Physician ...","Jewett, Paul",1828,,already in CH,3899,refuted_inch,"r3899 'The New-England Farrier and Family Physician / Richardson, J. / 1828 / Josiah Richardson / 1st? / Exeter' — CH recorded the publisher Josiah Richardson in the author column; title, 1828 date and Exeter NH imprint all match Jewett's book."
b149a1c09a8c,manual,Chewa Medical Botany,Brian Morris,1996,,INSERTED (missing from CH),,refuted_missing,"Searched ""Chewa"", ""Malawi"", ""Morris"" and ""Herbalism"": the Morris rows are r3236 Gardens of China, r3237 Essentials of Materia Medica, r3238 Herb Gardens in America, r3239/r3240 A Practical Guide for the Home Gardener — no Brian Morris Malawi title."
397b67846366,manual,Flora Rustica,Thomas Martyn,1792,,excluded: duplicate of another B record,,refuted_missing,
8cc7aeb042c4,manual,Fauna and Flora of the Bible,United Bible Societies,1980,,already in CH,4804,refuted_inch,r4804 'Fauna and Flora of the Bible / United Bible Societies / 1980 / United Bible Societies / London' is a literal match (accepted row r949 is the same work with the committee spelled out).
94dc8696bdc4,manual,Organic Free Range Chicken Broth,,,,excluded: not a book,,refuted_missing,"grocery product (extra.product_type = food, Trader Joe's)"
6cfaae3c2873,manual,Kombucha,,,,excluded: duplicate of another B record,,refuted_missing,
88ece9b8c393,manual,Simply the Best Mashed Potatoes,,,,excluded: duplicate of another B record,,refuted_missing,
9874bd74000e,manual,Organic Free Range Chicken Broth,,,,excluded: duplicate of another B record,,refuted_missing,
1a467898de95,manual,Letters to Malcolm,Clive Staples Lewis,1963,,INSERTED (missing from CH),,refuted_missing,"Searched ""Malcolm"", ""Letters to"", ""Prayer"" and ""Lewis, C"": the only Lewis, C. row is r2754 ""New Pronouncing Dictionary of Plant Names"" — not C. S. Lewis."
5e5ad2928160,manual,The Help,Kathryn Stockett,2009,,INSERTED (missing from CH),,refuted_missing,"Searched ""Stockett"" and an anchored title match on ""(The) Help"" — no matches; CH holds no modern general fiction of this kind."
4a0d5381f933,manual,Rules of Civility,Amor Towles,2011,,INSERTED (missing from CH),,refuted_missing,"Searched ""Rules of Civility"", ""Civility"" and ""Towles"" — no matches in CH."
a65f7f5e053c,manual,The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985,,INSERTED (missing from CH),,refuted_missing,"Searched ""Mistook"", ""Clinical Tales"", ""Sacks"" and ""Oliver Sacks"" — all returned no matches."
f0034044aa39,manual,The Invisible Man,H. G. Wells,1897,,INSERTED (missing from CH),,refuted_missing,"Searched ""Invisible Man"", ""Wells, H"" and an anchored title match — no matches in CH."
d1aaa9b8a417,manual,Simply the Best Mashed Potatoes,,,,excluded: not a book,,refuted_missing,grocery product (Trader Joe's label captured as publisher)
28a2437fb035,manual,Organic Soy,,,,excluded: not a book,,adjudicated,"grocery product (soy milk carton, 946 mL container_volume)"
e3c5cedebb22,manual,The Invisible Man,H. G. Wells,,,excluded: duplicate of another B record,,refuted_missing,
cfe2ed0d8eb6,manual,The Sacred Mushroom and the Cross,John M. Allegro,,,excluded: duplicate of another B record,68,refuted_inch,
ce7f1845c0c8,manual,The Peyote People,Stacy B. Schaefer; Peter T. Furst,1996,,already in CH,4130,refuted_missing,"CH r4130 ""People of the Peyote"", Schaeffer, S. and P. Furst, 1996, University of New Mexico Press, Albuquerque — same authors, year, publisher and city; the title words are simply inverted."
593a5c62b3f4,manual,The October Country,Ray Bradbury,1955,,INSERTED (missing from CH),,refuted_missing,"Searched ""October Country"" and ""Bradbury"": the Bradbury hits are all the London printer Bradbury & Evans (r2799, r2804, r2806, r3568, r3569), not Ray Bradbury."
4f1290ad5518,manual,Emma,Jane Austen,1959,,INSERTED (missing from CH),,refuted_missing,"Searched ""Austen"" and an anchored title match on ""Emma"" — no matches in CH."
f6f395920a9f,manual,The Lucky Lawyer,Miguel A. Hernandez,2023,,INSERTED (missing from CH),,refuted_missing,"Searched ""Lucky Lawyer"", ""Lawyer"", ""Hernandez"" and ""Memoir"" — the only Memoir-family hits are r84/r180 Memoirs of learned societies and r2269/r2270 Memoirs of a Captivity Among the Indians; nothing matching."
06b9fc890bdd,manual,The Man Who Mistook His Wife for a Hat,Oliver Sacks,1985,,excluded: duplicate of another B record,,refuted_missing,
58886330f3ea,manual,The Sacred Mushroom and the Cross,John M. Allegro,1970,,already in CH,69,refuted_inch,"B's 1970 1st edition matches r69 'The Sacred Mushroom & the Cross / Allegro, J.M. / 1970 / Doubleday & Co. / Garden City, NY' even more closely than the accepted r68 Bantam printing."
d31ea223e5e3,manual,Hallucinogenic Plants of North America,Jonathan Ott,1976,,already in CH,3498,refuted_inch,"r3498 'Hallucinogenic Plants of North America / Ott, Jonathan / 1976 / Wingbow Press / 1st / Berkeley' matches author, year, publisher and city exactly."
e1b0b586d8ff,manual,The Peyote People,Stacy B. Schaefer; Peter T. Furst,1996,,excluded: duplicate of another B record,4130,refuted_missing,
b146bb738e93,manual,The Sacred Mushroom Seeker,,1990,,already in CH,3912,refuted_inch,"r3912 'The Sacred Mushroom Seeker / Riedlinger, T.J., ed. / 1990 / Dioscorides Press / Portland, OR' — distinctive title, same year and publisher; B simply leaves the editor blank."
4b7050ba024d,manual,The Seven Sisters of Sleep,Mordecai C. Cooke,1989,,already in CH,976,refuted_inch,"r976 'The Seven Sisters of Sleep / Cooke, M.C. / 1989 / Quarterman Publications' matches author, year and publisher."
2761b5e289a8,manual,Opium Poppy,L. D. Kapoor,1995,,already in CH,2449,refuted_inch,"r2449 'Opium Poppy / Kapoor, L.D. / 1995 / Haworth Press' matches author, year and publisher; B only adds the subtitle 'Botany, Chemistry, and Pharmacology'."
1e4540e5745b,manual,Peyotism,Omer C. Stewart,1944,,already in CH,4483,refuted_missing,"CH r4483 ""Washo-Northern Paiute Peyotism A Study in Acculturation Vol 40 #3"", Stewart, Omer C., 1944, University of California Press, Berkeley — identical author, year, publisher, city and volume; CH just carries the fuller title."
eeccc262d803,manual,Washo-Northern Paiute Peyotism,Omer C. Stewart,1944,,already in CH,4483,adjudicated,"CH r4483 ""Washo-Northern Paiute Peyotism A Study in Acculturation Vol 40 #3 / Stewart, Omer C. / 1944 / University of California Press"" is the same work with the subtitle attached."
72aeaf01ae4f,manual,Drugs of Hallucination,Sidney Cohen,1965,,already in CH,922,refuted_inch,"r922 'Drugs of Hallucination / Cohen, S. / 1964 / The Scientific  Book Club' — same author and title, a different British printing/year of the same work."
395e893898af,manual,The Wondrous Mushroom,R. Gordon Wasson,1980,,already in CH,4968,refuted_inch,"r4968 'The Wondrous Mushroom / Wasson, R. Gordeon / 1980 / McGraw-Hill Book Co.' — same author (surname misspelt), year and publisher."
4de90914c3e9,manual,Peyote,Edward F Anderson,1980,,already in CH,134,refuted_missing,"CH r134 ""Peyote The Divine Cactus"", Anderson, E.F., 1980, The University of Arizona Press, Tucson, AZ — exact match on author, year, publisher and city."
dd69b6a39149,manual,Pharmacotheon,Jonathan Ott,1993,,already in CH,3497,adjudicated,"CH r3497 ""Pharmacotheon x000D Entheogenic drugs their plant sources and history / Ott, Jonathan / 1993 / Natural Products Cp/ / Kennewick, WA"" is the identical book; the crude matcher missed it because of the embedded x000D."
843716fdc858,manual,The Biochemical Basis of Neuropharmacology,Jack R. Cooper; Floyd E. Bloom; Robert H. Roth,1991,,already in CH,986,refuted_inch,"r986 'The Biochemical Basis of Neuropharmacology / Cooper, J., F. Bloom, and R. Roth / 1991 / Oxford Univ. Press' matches all three authors, year and publisher."
ba9d1aaf0078,manual,A Native Drawing of an Hallucinogenic Plant from Colombia,Richard Evans Schultes; Alec Bright,1977,,INSERTED (missing from CH),,refuted_missing,"Searched ""Native Drawing"", ""Botanical Museum Leaflets"", ""Bright, A"" and reviewed every ""Schultes"" row (r4167-r4172: Where the Gods Reign, Journals of Hipolito Ruiz, Plants of the Gods, Vine of the Soul, The Healing Forest) — this 1977 offprint is not among them."
8d85268ad2f0,manual,Therapeutic Uses of Cannabis,British Medical Association,1997,,already in CH,606,refuted_inch,r606 'Therapeutic Uses of Cannabis / British Medical Association / 1997 / Harwood Academic PUblishers' is an exact match apart from a typo.
d6e624ea813d,manual,Altered States of Consciousness,Charles T. Tart,1975,,already in CH,4565,refuted_inch,"r4565 'Altered States of Consciousness / Tart, C. / 1969 / Doubleday' — same editor and distinctive title; B's 1975 Doubleday Anchor is a later printing of the same reader."
cf36bda37292,manual,Hemp for Health,Chris Conrad,1997,,already in CH,956,refuted_missing,"CH r956 ""Hemp for Health The Medicinal and Nutritional Uses of Cannabis sativa"", Conrad, Chris, 1997, Healing Arts Press, Rochester — exact match including subtitle."
7d2d6c8d87db,manual,"Cocaine, Marijuana, Designer Drugs",Kinfe K. Redda; Charles A. Walker; Gene Barnett,1989,,already in CH,3849,adjudicated,"CH r3849 ""Cocaine Marijuana Designer Drugs: Chemistry Pharmacology and Behavior / Redda, K.K. et al. / 1989 / CRC Press / Boca Raton"" matches title, author, year and publisher exactly."
1ef481e1238c,manual,Phantastica,,,,excluded: duplicate of another B record,,refuted_missing,
b028401092b7,manual,Drugs and Narcotics in History,Roy Porter; Mikuláš Teich,1995,,already in CH,3717,refuted_inch,"r3717 'Drugs and Narcotics in History / Porter, R. and M. Teich, eds. / 1995 / Cambridge University Press' matches both editors, year and publisher."
6e15cdb95562,manual,The Beyond Within,Sidney Cohen,1964,,already in CH,924,adjudicated,"CH r924 ""The Beyong Within The LSD Story / Cohen, S. / 1966 / Atheneum"" is the same book (CH's ""Beyong"" is a typo for ""Beyond""); B's 1964 is the first printing."
f28372ef2e7b,manual,Hallucinogenic Drug Research,James R. Gamage; Edmund L. Zerking,1970,$6.50,already in CH,1659,adjudicated,"CH r1659 ""Hallucinogenic Drug Research: Impact on Science & Society / Gamage, J.R. & E.L. Zerkin / 1970 / Stash Press / Beliot, WI"" matches title, authors, year, publisher and city."
c7d88febb417,manual,Marihuana-Hashish Epidemic and Its Impact on United States Security,,1975,$35,already in CH,195,refuted_inch,"r195 'Marihuana-Hashish Epidemic and Its Impact on United States Security / Anonymous / 1975 / U.S. Gov't Printing Office' — identical distinctive title, year and issuing body; both sides lack a personal author."
1de98ff8561d,manual,Hallucinogenic Plants of North America,Jonathan Ott,1979,,already in CH,3498,refuted_inch,"r3498 'Hallucinogenic Plants of North America / Ott, Jonathan / 1976 / Wingbow Press' — same work by the same author; B's 1979 Revised is a later edition, and CH also duplicates it at r3496."
01634760ad56,manual,Psychotropic Drugs,Norman L. Keltner; David G. Folks,1992,,already in CH,2496,refuted_inch,"r2496 'Psychotropic Drugs / Keltner, N.L. and D.G. Folks / 1993 / Mosby-Year Book, Inc. / 1st' — same two authors, same 1st edition, one year apart."
5fcde8dab222,manual,Phantastica,Louis Lewin,1931,$125,already in CH,2752,refuted_missing,"CH r2752 ""Phantastica Narcotic and Stimulating Drugs"", Lewin, L., 1931, E.P. Dutton & Co., 1st American, New York — same work, subtitle slightly shortened."
56b3649855ee,manual,Peyote,Alice Marriott; Carol K. Rachlin,1971,$25.80,already in CH,2968,refuted_missing,"CH r2968 ""Peyote an account of the origins and growth of the peyote religion"", Marriott, A. and C. K. Rachlin, 1971, Thomas Y. Crowell, New York — exact match on authors, year, publisher and city."
b797933575da,manual,Marihuana Reconsidered,Lester Grinspoon,1971,,INSERTED (missing from CH),,adjudicated,"The only Grinspoon row is r1867 ""Marihuana the Forbidden Medicine / Grinspoon, L. and J.B. Bakalar / 1993 / Yale University Press"" — a different, later book; ""Reconsidered"" returns no other match."
28ac864d1a5c,manual,Licit and Illicit Drugs,Edward M. Brecher,1972,$4.95,already in CH,580,refuted_inch,"r580 'Licit and Illicit Drugs / Brecher, E.M. / 1972 / Little, Brown & Co.' matches author, year and publisher exactly."
c9f797b2139d,manual,The Drug Experience,David Ebin,1961,$35,INSERTED (missing from CH),,adjudicated,"Searches for ""Ebin"", ""Drug Experience"", ""Orion Press"" and ""Addicts"" all return nothing; the sole candidate was r362 ""The Druggists General Receipt Book / Beasley, H."", an unrelated work."
4eb6364a0abd,manual,Hallucinogens and Culture,Peter T Furst,1976,$22.80,already in CH,1648,refuted_inch,"r1648 'Hallucinogens and Culture / Furst, P.T. / 19761922 / Chandler & Sharp Publishers, Inc.' — same author and publisher; CH's year field is a corrupted '1976'."
b59478cf1393,manual,Hallucinogenic Drugs and Their Psychotherapeutic Use,Richard Crocket; R. A. Sandison; Alexander Walk,1963,£6.50,already in CH,1063,refuted_inch,"r1063 'Hallucinogenic Drugs and their Psychotherapeutic Use / Crocket, R. et al, eds. / 1961 / H.K. Lewis & Co., Ltd.' — same lead editor and publisher, same symposium volume."
aa5a086d2fcb,manual,Hallucinogens and Shamanism,Michael J. Harner,1973,,already in CH,1989,refuted_inch,"r1989 'Hallucinogens and Shamanism / Harner, M.J., ed. / 1973 / Oxford University Press' matches editor, year and publisher exactly."
7b47f4fd0b22,manual,Absinthe,Barnaby Conrad III,1988,$10,already in CH,955,refuted_missing,"CH r955 ""Absinthe History in a Bottle"", Conrad, Barnaby, 1988, Chronicle Books, San Francisco, CA — same work (CH omits the ""III"" suffix on the author)."
f72d73b6c89c,manual,Kindly Medicine,John S. Haller,1997,$35,already in CH,1943,refuted_inch,"r1943 'Kindly Medicine / Haller, J.S. / 1997 / Kent State Univ. Press' matches author, year and publisher; B only adds the subtitle."
f3a907c608d7,manual,Trees and Shrubs,James R. Anderson,1937,$50,already in CH,138,adjudicated,"CH r138 ""Trees and Shrubs x000D Food Medicinal and Poisonous Plants of British Columbia / Anderson, J.R. / 1937 / Department of Education / Victoria, B.C."" is the identical book; the matcher missed it because of the x000D-mangled subtitle."
5dbe98dbfe6f,manual,The Complete Book of Mushrooms,,1974,,already in CH,3922,refuted_inch,"r3922 'The Complete Book of Mushroomsq / Rinaldi, A. and V. Tyndalo / 1974 / Crown Publishers / 1st English' — same year, publisher and 1st English edition; B leaves the authors blank but the title, date and Crown imprint pin it down."
cacccddcca02,manual,Ciba Symposia,,1944,,already in CH,4008,refuted_inch,"r4008 'Ciba Symposia / Rosen, B., ed. (Caspari-Rosen) / 1944 / Ciba Pharmaceutical Products, Inc. / Summit, NJ' carries no volume number and the same 1944 date and Summit imprint as B's vol 6, so CH is not listing volumes separately here (its one volume-specific row, r4012, is Vol 5 No 12)."
99899d789f63,manual,The Observer's Book of Mosses and Liverworts,Arthur L. Jewell,1955,,already in CH,2375,adjudicated,"CH r2375 ""Observers Book of Mosses & Liverworts / Jewell, A.L. / 1955 / Frederick Warne & Co. / 1"" matches author, year and publisher exactly (only ""The"" and the ampersand differ)."
393f4853c1fe,manual,The Midwest Pioneer,Madge E. Pickard; R. Carlyle Buley,1946,$35,already in CH,3660,refuted_inch,"r3660 'The Midwest Pioneer / Pickard, M.E. & R.C. Buley / 1946 / Henry Schuman' matches both authors, year and publisher."
be42b34cfbe4,manual,Handbook of the Bach Flower Remedies,Philip M. Chancellor,1971,$20,already in CH,778,refuted_inch,"r778 'Handbook of the Bach Flower  Remedies / Chancellor, P. M. / 1971 / C.W. Daniel Co. Ltd. / London' matches author, year, publisher and city."
5f74f92340c5,manual,Reishi Mushroom,Terry Willard,1990,,already in CH,5080,refuted_missing,"CH r5080 ""Reishi Mushroom Herb of Spiritual Potency and Medical Wonder"", Willard, T., 1990, Sylvan Press, Issaquah, Wash. — exact match on title, author, year, publisher and city."
3072e812cf17,manual,The Virtues of Herbs,Arne Zettersten,1967,,already in CH,5242,adjudicated,"CH r5242 ""The Virtues of Herbs in the LOscombe Manuscript / Zettersten, A. / 1967 / CWK Gleerup Lund"" is the same work with the subtitle run into the title."
3877b6a8efb2,manual,Newsletter,,1992,,INSERTED (missing from CH),,refuted_missing,"Searched ""Newsletter"" (no matches) and ""Classical Studies"", whose only hit is r4664 ""Garden Lore of Ancient Athens"" (American School of Classical Studies at Athens) — a different institution and a monograph, not this UPenn newsletter."
3b9f720cae0d,manual,Poisonous Plants,James W. Hardin,1961,$8,already in CH,1972,adjudicated,"CH r1972 ""Poisonous Plants of North Carolina / Hardin, J.W. / 1961 / Agricultural Experiment Station / Raleigh, N.C."" matches title, author, year, publisher and city."
c799933279e2,manual,Poisonous Plants on the Farm,H. C. Long,1927,,already in CH,2857,refuted_inch,"r2857 'Poisonous Plants on the Farm / Long, H.C. / 1927 / Ministry of Agrculture & Fisheries' — same author, title and year; CH names the issuing ministry where B names HMSO as printer of the same bulletin."
7626fcff4b23,manual,Dangerous Plants,John Tampion,1977,$20,already in CH,4556,refuted_inch,"r4556 'Dangerous Plants / Tampion, J. / 1977 / Universe Books' matches author, year and publisher exactly."
5d460d366900,manual,Shakespeare's Son-in-law,Harriet Joseph,1976,,already in CH,2425,adjudicated,"CH r2425 ""Shakespeares Son-in-law: John Hall Man and Physician / Joseph, H. / 1964 / Archon Books"" is the same work by the same author; B's 1976 is a later printing."
06938a2a0d5b,manual,A Selection of Primary Sources for the History of Pharmacy in the United States,Nydia M. King,1987,,already in CH,2539,refuted_inch,"r2539 'A Selection of Primary Sources for the History of Pharmacy in the United States / King, N.M. / 1987 / American Institute of the History of Pharmacy' matches author, year and publisher exactly."
c1ec192e928b,manual,Poisonous Plants and Fungi,Pamela North,1967,£7.50,INSERTED (missing from CH),,adjudicated,"No ""North, P"" author row and no ""Plants and Fungi"" title; CH's Blandford rows are r1510 Fernando's ""Alchemy"" and r2290 ""Mushrooms and Toadstools / Hvass"", and the top candidate r3401 ""Poisonous Plants and Animals / Nellis, D.W."" is a different book."
af6a50abc1d0,manual,Epitome of the Pharmacopeia of the United States and the National Formulary,A. W. Hewlett; Torald Sollmann; M. I. Wilbert; W. A. Puckner,1924,$30,already in CH,2102,refuted_inch,"r2102 'Epitome of the Pharmacopeia of the United States and the National  Formulary / Hewlett, A.W. et al. / 1924 / American Medical Association' matches lead author, year and publisher."
49b874664ada,manual,An Epitome of Therapeutics,W. Domett Stone,1874,£15,already in CH,4508,refuted_inch,"The accepted row r5202 is 'An Epitome of Therapeutics / Wyeth & Brother / 1901 / John Wyeth & Brother' — a DIFFERENT author's book on the same generic title — but CH does hold Stone at r4508 'An Eptiome of Therapeutics / Stone, W.D. / 1874 / Smith, Elder & Co. / London', an exact match for B."
8192cf07c54f,manual,Vascular Plants of the Pacific Northwest,C. Leo Hitchcock; Arthur Cronquist; Marion Ownbey; J. W. Thompson,1964,,INSERTED (missing from CH),,adjudicated,"Searches for ""Vascular Plants of the Pac"" and ""Ownbey"" return nothing; the only Hitchcock C.L. row is r2140 ""Flora of the Pacific Northwest / Hitchcock, C.L., & Cronquist, A. / 1978"", the separate one-volume condensation, not the five-volume Vascular Plants."
66717fca6558,manual,Vascular Plants of the Pacific Northwest,C. Leo Hitchcock; Arthur Cronquist; Marion Ownbey; J. W. Thompson,1969,,INSERTED (missing from CH),,adjudicated,"Same sweep as vol. 2 — CH's only Hitchcock/Cronquist Northwest title is r2140 ""Flora of the Pacific Northwest"" (1978), a different work; no Vascular Plants volume is listed."
ea6ba4449c5d,manual,Vascular Plants of the Pacific Northwest,C. Leo Hitchcock; Arthur Cronquist; Marion Ownbey; J. W. Thompson,1961,,INSERTED (missing from CH),,adjudicated,"Same sweep as vols. 1 and 2 — the full ""Pacific Northwest"" listing (r872, r2140, r3205, r3696, r4478, r4666, r4776) contains no Vascular Plants of the Pacific Northwest row."
c6ca5cfc12eb,manual,Mushrooms of the Northeastern United States and Eastern Canada,Timothy J. Baroni,2017,,INSERTED (missing from CH),,adjudicated,"Same book as B's other Baroni copy; ""Baroni"" returns nothing and CH's nearest holding is r3702 ""Mushrooms of Eastern Canada and the United States / Pomerleau, Rene / 1951"", a different author's book."
070d7fb12c0b,manual,Johnson's Therapeutic Key,I. D. Johnson,1890,$8.50,already in CH,2396,refuted_inch,"r2396 'Johnsons Therapeutic Key / Johnson, I.D., M.D. / 1896 / Hahnemann Publishing House / 16th' — same author, same 16th edition, a later printing of the same work."
38e1b5556430,manual,International Journal of Medicinal Mushrooms,Solomon P. Wasser,2003,,INSERTED (missing from CH),,adjudicated,"""Wasser"" and ""International Journal"" return nothing; CH's medicinal-mushroom rows are r2145 ""Medicinal Mushrooms / Hobbs, C."" and r4415 ""Mycomedicinals / Stamets, P."" — unrelated monographs, not this journal volume."
b337dbfc0faf,manual,Just Mushrooms,Michelle Russell; Camille Degabrielle,,,INSERTED (missing from CH),,refuted_missing,"Searched ""Just Mushrooms"", ""Future of Food"", ""Degabrielle"" and ""Russell, M"" — no matches in CH."
95fad31818a7,manual,The Fungal Pharmacy,Robert Rogers,2011,,INSERTED (missing from CH),,refuted_missing,"Searched ""Fungal Pharmacy"", ""Rogers"", ""Lichens of North America"" and ""Medicinal Mushrooms and Lichens"": the only ""Fungal"" rows are r56/r57 Ainsworth's The Fungi and r2475 Plant and Fungal Toxins; no Robert Rogers title exists in CH."
6f02625dc4c1,manual,The Mushroom,,2022,,INSERTED (missing from CH),,adjudicated,"""Mycology Press"" returns no rows, and the matcher's two ""ok"" hits are distinct named-author books — r2971 ""The Mushroom Book / Marshall, N.L. / 1913 / Doubleday"" and r2642 ""The Mushroom Book / Laessoe, T. et al. / DK Publishing"" — neither is a 2022 Hove imprint; B's record is thin (no author), hence medium."
f86958107cb7,manual,The Agaricales,Harry D. Thiers,1985,,excluded: duplicate of another B record,,refuted_missing,
11448878ae35,manual,The Agaricales,Harry D. Thiers,1985,,INSERTED (missing from CH),,refuted_missing,"The only Agaricales row in CH is r4644 'The Agaricales of California 1 Amanitaceae' (Thiers, H.D., 1982, Mad River Press) — CH names the volume explicitly, so it holds vol. 1 only; greps for 'agaricales', 'gilled fungi', 'Mad River', 'Thiers' and the series family names (Cantharellaceae/Hygrophoraceae/Gomphidiaceae) returned no vol. 3."
5ebbc755e6c1,manual,The Agaricales,Harry D. Thiers,1985,,INSERTED (missing from CH),,refuted_missing,"Same as vol. 3 — CH's sole series row r4644 'The Agaricales of California 1 Amanitaceae' (Thiers, 1982) identifies volume 1 by name; 'agaricales', 'Mad River', 'Thiers', 'gilled fungi' greps surfaced no further volumes."
